ID,name,race,realm,fellowship,fame,strength,status,allegiance,description,mentor_ID,ring_ID
11111111-0000-0000-0000-000000000017,Faramir,Man,Gondor,false,76,79,Alive,Good,Younger son of Denethor and Captain of Gondor.,11111111-0000-0000-0000-000000000003,
11111111-0000-0000-0000-000000000018,Treebeard,Ent,Fangorn,false,70,96,Alive,Good,Eldest of the Ents and shepherd of the trees.,,
11111111-0000-0000-0000-000000000019,Shelob,Orc,Cirith Ungol,false,65,88,Unknown,Evil,Great spider who guarded the pass of Cirith Ungol.,,
11111111-0000-0000-0000-000000000020,Gollum,Hobbit,Misty Mountains,false,90,22,Dead,Neutral,Former hobbit corrupted by centuries of Ring-bearing.,,
11111111-0000-0000-0000-000000000021,Nazgûl,Wraith,Mordor,false,80,83,Dead,Evil,Nine kings of Men enslaved by the One Ring.,,
11111111-0000-0000-0000-000000000022,Celeborn,Elf,Lothlórien,false,60,73,Alive,Good,Lord of the Golden Wood and husband of Galadriel.,,
11111111-0000-0000-0000-000000000023,Glorfindel,Elf,Rivendell,false,72,91,Alive,Good,Ancient elf-lord of great power who aided the Fellowship.,,
11111111-0000-0000-0000-000000000024,Denethor,Man,Gondor,false,74,62,Dead,Neutral,Steward of Gondor consumed by grief and the palantír.,,
11111111-0000-0000-0000-000000000025,Arwen Undómiel,Elf,Rivendell,false,88,42,Alive,Good,Evenstar of the Elves and daughter of Elrond who chose mortality for love of Aragorn.,11111111-0000-0000-0000-000000000014,
11111111-0000-0000-0000-000000000026,Éomer,Man,Rohan,false,78,85,Alive,Good,Marshal of the Riddermark and nephew of King Théoden who later became King of Rohan.,11111111-0000-0000-0000-000000000015,
11111111-0000-0000-0000-000000000027,Gríma Wormtongue,Man,Rohan,false,52,28,Dead,Evil,Counselor of King Théoden corrupted by Saruman's service who later slew his own master.,,
11111111-0000-0000-0000-000000000028,Radagast the Brown,Wizard,Rhosgobel,false,62,58,Alive,Good,Brown wizard with a deep love of nature and animals who aided in gathering intelligence.,11111111-0000-0000-0000-000000000003,
11111111-0000-0000-0000-000000000029,Isildur,Man,Gondor,false,84,82,Dead,Good,Son of Elendil who cut the One Ring from Sauron's hand but could not bring himself to destroy it.,,
11111111-0000-0000-0000-000000000030,Gil-galad,Elf,Lindon,false,90,93,Dead,Good,Last High King of the Noldor who was slain by Sauron himself at the end of the Second Age.,,
11111111-0000-0000-0000-000000000031,Círdan,Elf,Grey Havens,false,74,68,Alive,Good,Ancient shipwright of the Grey Havens and one of the wisest of all the Elves of Middle-earth.,,
11111111-0000-0000-0000-000000000032,Haldir,Elf,Lothlórien,false,63,74,Dead,Good,March-warden of Lothlórien who guided the Fellowship through Caras Galadhon and fell at Helm's Deep.,,
11111111-0000-0000-0000-000000000033,Mouth of Sauron,Man,Mordor,false,60,68,Unknown,Evil,The Lieutenant of Barad-dûr who served as emissary and herald of the Dark Lord Sauron.,,
11111111-0000-0000-0000-000000000034,Tom Bombadil,Maiar,Old Forest,false,70,80,Alive,Neutral,Mysterious master of the Old Forest who is immune to the corrupting power of the One Ring.,,
11111111-0000-0000-0000-000000000035,Prince Imrahil,Man,Gondor,false,72,82,Alive,Good,Prince of Dol Amroth and renowned knight of Gondor who led his swan knights at the Pelennor.,,
11111111-0000-0000-0000-000000000036,Gothmog,Orc,Mordor,false,55,78,Dead,Evil,Orc lieutenant who assumed command of Sauron's forces at the Battle of the Pelennor Fields.,,
11111111-0000-0000-0000-000000000037,Beregond,Man,Gondor,false,58,70,Alive,Good,Guard of the Citadel who defied orders and committed violence within the Hallows to protect Faramir.,,
11111111-0000-0000-0000-000000000038,Witch-king of Angmar,Wraith,Angmar,false,88,90,Dead,Evil,Lord of the Nazgûl and most powerful of the Nine Ring-wraiths who struck down King Théoden.,,
